"","X","genusName","speciesName","updateName","evergreenDeciduous","fruitSize.cm.","seedSize.mm.","droughtTolerance","familyName","typeMonoOrDio","Biome","Elevation","floweringDuration","pollination","seedDispersal","seedPredator","lifeSpanMax","reprodAge","seedDormancy","seedWeights","mastEvent","mastCycle","shadeTolerance","leafLongevity","oilContent","proteinContent","mastCycleAve","fruitSizeAve","seedSizeAve","latbi","seedDispersalDetails","m_CV"
"21",21,"Picea","engelmannii",NA,"Evergreen","4 to 6","3",NA,"Pinaceae","Monoecious","Temperate","high",NA,"wind","both","birds, insects, mammals, rodents","600","15 to 40","Y",3.2,"Y","2 to 5","tolerant",NA,NA,NA,3.5,5,3,"Picea engelmannii","both",1.577116786
"22",22,"Picea","glauca","Picea laxa","Evergreen","2.5 to 8",NA,"High","Pinaceae","Monoecious","Temperate to boreal","low to mid","<10","wind","both","birds, insects, mammals, rodents","300","30","Y",2.42,"Y","10 to 12",NA,3.5,NA,NA,11,5.25,NA,"Picea laxa","both",NA
"23",23,"Picea","mariana",NA,"Evergreen","1.5 to 3.5",NA,"Low","Pinaceae","Monoecious","Temperate to boreal","low to mid",NA,"wind","both","birds, insects, rodents","250","10","Y",1.19,"Y","2 to 4",NA,5.5,NA,NA,3,2.5,NA,"Picea mariana","both",0.815985182
"24",24,"Picea","pungens",NA,"Evergreen","6.4 to 10.2",NA,"Moderate","Pinaceae","Monoecious","Temperate","mid to high",NA,"wind","both","birds, insects, rodents","600","20","N",4.42,"Y","2 to 3","intermediate",4,NA,NA,2.5,8.3,NA,"Picea pungens","both",NA
"25",25,"Picea","rubens",NA,"Evergreen","3 to 4",NA,"High","Pinaceae","Monoecious","Temperate","mid to high","<10","wind","both","birds, insects, rodents","400","15 to 20","N",3.31,"Y","3 to 8",NA,4,NA,NA,5.5,3.5,NA,"Picea rubens","both",NA
"26",26,"Picea","sitchensis",NA,"Evergreen","5 to 10",NA,"Low","Pinaceae","Monoecious","Temperate","low to mid",">30","wind","both","birds, insects, rodents","800","20 to 40","Y",2.37,"Y","3 to 8","tolerant",3.8,NA,NA,5.5,7.5,NA,"Picea sitchensis","both",1.109861729
"27",27,"Pinus","albicaulis",NA,"Evergreen","4 to 8","7 to 11","High","Pinaceae","Monoecious","Temperate","high",NA,"wind","biotic","birds, insects, mammals, rodents","1000","20","Y",136.14,"Y","4","intolerant",NA,NA,NA,4,6,9,"Pinus albicaulis","biotic",0.997735423
"28",28,"Pinus","banksiana",NA,"Evergreen","3 to 5.5","4 to 5","High","Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","abiotic","birds, insects, rodents",NA,"5 to 10","N",3.45,NA,NA,"intolerant",3,NA,NA,NA,4.25,4.5,"Pinus banksiana","abiotic",0.789898447
"29",29,"Pinus","clausa",NA,"Evergreen","3 to 8","4 to 6","High","Pinaceae","Monoecious","Subtropical","low",NA,"wind","both","birds, insects, rodents","40-60","5","Y",6.04,"N",NA,"intolerant",NA,NA,NA,NA,5.5,5,"Pinus clausa","both",NA
"30",30,"Pinus","contorta",NA,"Evergreen","3 to 7.5","5","High","Pinaceae","Monoecious","Temperate","broad",NA,"wind","both","birds, insects, rodents",NA,NA,"N",4.23,"Y","1 to 3","intolerant",2,NA,NA,2,5.25,5,"Pinus contorta","both",0.838205967
"31",31,"Pinus","echinata",NA,"Evergreen","4 to 7","6","High","Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","both","birds, insects, mammals, rodents","200","20","Y",29.16,"Y","3 to 10","intolerant",2.5,NA,NA,6.5,5.5,6,"Pinus echinata","both",NA
"32",32,"Pinus","edulis",NA,"Evergreen","4 to 5","10 to 15","High","Pinaceae","Monoecious","Temperate","mid to high","<10","wind","biotic","birds, insects, rodents","1000","25","Y",245.79,"Y","4 to 7","intolerant",5,NA,NA,5.5,4.5,12.5,"Pinus edulis","biotic",1.811233623
"33",33,"Pinus","elliottii",NA,"Evergreen","3 to 4","6 to 7","Low","Pinaceae","Monoecious","Subtropical","low","10 to 30","wind","both","birds, insects, mammals, rodents","200","10 to 15","N",32.45,"Y","3","intolerant",2,NA,NA,3,3.5,6.5,"Pinus elliottii","both",NA
"34",34,"Pinus","flexilis",NA,"Evergreen","8 to 15","7 to 12","High","Pinaceae","Monoecious","Temperate","high","10 to 30","wind","biotic","birds, insects, mammals, rodents","1000","20 to 40","Y",113.22,"Y","2 to 4","intolerant",2,59.8,25,3,11.5,9.5,"Pinus flexilis","biotic",NA
"35",35,"Pinus","glabra",NA,"Evergreen","3.5 to 7","6","Moderate","Pinaceae","Monoecious","Temperate","low",NA,"wind",NA,"birds, insects, rodents","100","10","Y",8.62,"N",NA,"tolerant",2.5,NA,NA,NA,5.25,6,"Pinus glabra",NA,NA
"36",36,"Pinus","jeffreyi",NA,"Evergreen","12 to 30","13","High","Pinaceae","Monoecious","Temperate","mid to high",NA,"wind","both","birds, insects, rodents","500","8","Y",122.49,"Y","2 to 4","intolerant",2.5,NA,NA,3,21,13,"Pinus jeffreyi","both",NA
"37",37,"Pinus","lambertiana",NA,"Evergreen","25 to 50","10 to 20",NA,"Pinaceae","Monoecious","Temperate","mid to high","two months","wind","biotic","birds, insects, mammals, rodents","500",NA,"Y",208.51,NA,NA,"intermediate",3,NA,NA,NA,37.5,15,"Pinus lambertiana","biotic",1.34281877
"38",38,"Pinus","monophylla",NA,"Evergreen","3.5 to 5.5","10 to 17","High","Pinaceae","Monoecious","Temperate","mid",NA,"wind","biotic","birds, insects, mammals, rodents","1000","35","N",473.27,"Y","3 to 7","intolerant",7,25.5,9.5,5,4.5,13.5,"Pinus monophylla","biotic",NA
"39",39,"Pinus","monticola",NA,"Evergreen","12 to 38","5 to 7","High","Pinaceae","Monoecious","Temperate","mid to high","<10","wind","both","birds, insects, rodents","500","7","Y",20.41,"Y","4","intermediate",2.5,NA,NA,4,25,6,"Pinus monticola","both",1.190658997
"40",40,"Pinus","nigra",NA,"Evergreen","5 to 10","6 to 8",NA,"Pinaceae","Monoecious","Temperate","low to mid","<10","wind","abiotic","birds, insects, rodents","400","15 to 40","N",17.2,"Y","2 to 5","intolerant",3.152083333,NA,NA,3.5,7.5,7,"Pinus nigra","abiotic",NA
"41",41,"Pinus","palustris",NA,"Evergreen","15 to 20","10","High","Pinaceae","Monoecious","Temperate to subtropical","low",NA,"wind","abiotic","birds, insects, rodents",NA,"30","N",94.42,"Y","4 to 5","intolerant",2.666666667,NA,NA,4.5,17.5,10,"Pinus palustris","abiotic",0.714152259
"42",42,"Pinus","ponderosa",NA,"Evergreen","8 to 15","4 to 5","High","Pinaceae","Monoecious","Temperate","mid to high","10 to 30","wind","biotic","birds, insects, rodents","600","7","Y",41.57,"Y","2 to 5","intolerant",3,NA,NA,3.5,11.5,4.5,"Pinus ponderosa","biotic",1.372023848
"43",43,"Pinus","pungens",NA,"Evergreen","4.2 to 10","6.3","High","Pinaceae","Monoecious","Temperate","mid to high","10 to 30","wind","both","birds, insects, rodents","200","5 to 10","N",13.18,"N",NA,"intolerant",2.5,NA,NA,NA,7.1,6.3,"Pinus pungens","both",NA
"44",44,"Pinus","radiata",NA,"Evergreen",NA,NA,NA,"Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","both","birds, insects, rodents","100","5 to 10","N",31.84,"N",NA,"intermediate",3,NA,NA,NA,NA,NA,"Pinus radiata","both",NA
"45",45,"Pinus","resinosa",NA,"Evergreen","3.5 to 6","3 to 5","High","Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","both","birds, insects, rodents","400","15 to 25","Y",8.5,"Y","3 to 7","intolerant",4.5,NA,NA,5,4.75,4,"Pinus resinosa","both",0.892325798
"46",46,"Pinus","rigida",NA,"Evergreen","3 to 9","4 to 5","High","Pinaceae","Monoecious","Temperate","low to mid","10 to 30","wind","both","birds, insects, rodents","200","3","Y",NA,"Y","4 to 9","intolerant",3,NA,NA,6.5,6,4.5,"Pinus rigida","both",NA
"47",47,"Pinus","sabiniana",NA,"Evergreen","15 to 30","15 to 25","High","Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","both","birds, insects, rodents",NA,"10 to 25","Y",703.62,"Y","2 to 3","intolerant",2.5,49.4,25,2.5,22.5,20,"Pinus sabiniana","both",NA
"48",48,"Pinus","serotina",NA,"Evergreen","5 to 8","5 to 6",NA,"Pinaceae","Monoecious","Temperate","low",NA,"wind","both","birds, insects, rodents","100","10","Y",8.75,"Y",NA,"intolerant",2.5,NA,NA,NA,6.5,5.5,"Pinus serotina","both",NA
"49",49,"Pinus","strobus",NA,"Evergreen","8 to 20","5 to 6","Moderate","Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","both","birds, insects, mammals, rodents","450","5 tp 10","Y",16.56,"Y","3 to 5","intermediate",2,NA,NA,4,14,5.5,"Pinus strobus","both",NA
"50",50,"Pinus","sylvestris",NA,"Evergreen","3 to 6","4 to 5","High","Pinaceae","Monoecious","Temperate","broad","<10","wind","both","birds, insects, mammals, rodents","1000","5 to 8","N",5.78,"Y","3 to 6","intolerant",2.405333333,NA,NA,4.5,4.5,4.5,"Pinus sylvestris","both",0.943160057
"51",51,"Pinus","taeda",NA,"Evergreen","6 to 12","5 to 6","High","Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","abiotic","birds, insects, rodents","200","25","Y",26.19,"Y","3 to 6","intolerant",3,17.5,NA,4.5,9,5.5,"Pinus taeda","abiotic",1.140663746
"52",52,"Pinus","virginiana",NA,"Evergreen","4 to 7","4 to 7","High","Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","both","birds, insects, rodents","100","5",NA,8.45,"Y","4","intolerant",3,NA,NA,4,5.5,5.5,"Pinus virginiana","both",NA
"53",53,"Pseudotsuga","macrocarpa",NA,"Evergreen","10 to 18","9 to 12","High","Pinaceae","Monoecious","Temperate","mid to high","10 to 30","wind","both","birds, insects, rodents","700","40","Y",88.15,"N",NA,"intolerant",NA,NA,NA,NA,14,10.5,"Pseudotsuga macrocarpa","both",NA
"54",54,"Pseudotsuga","menziesii",NA,"Evergreen","6 to 10","9 to 14","High","Pinaceae","Monoecious","Temperate","broad",NA,"wind","both","birds, insects, mammals, rodents","1000","20 to 30","Y",10.88,"Y",NA,"tolerant",3,NA,NA,NA,8,11.5,"Pseudotsuga menziesii","both",1.639570568
"55",55,"Sequoia","sempervirens",NA,"Evergreen","2 to 3.5","3 to 6","Moderate","Pinaceae","Monoecious","Temperate","low",NA,"wind","abiotic","insects","3000","5 to 15","N",4.67,"N",NA,"tolerant",NA,NA,NA,NA,2.75,4.5,"Sequoia sempervirens","abiotic",NA
"56",56,"Sequoiadendron","giganteum",NA,"Evergreen","4 to 7","4 to 7","High","Pinaceae","Monoecious","Temperate","mid to high",NA,"wind","both","insects, mammals","3200","20","N",6.16,"Y",NA,"intolerant",NA,NA,NA,NA,5.5,5.5,"Sequoiadendron giganteum","both",NA
"57",57,"Taxodium","distichum var. distichum",NA,"Evergreen","2.5 to 4","4 to 6",NA,"Taxodiaceae","Monoecious","Temperate","low",NA,"wind","both","birds, insects, mammals",NA,NA,NA,87,"Y","3 to 5","intermediate",NA,NA,NA,4,3.25,5,"Taxodium distichum var. distichum","both",NA
"58",58,"Taxus","brevifolia",NA,"Evergreen","1","5 to 6",NA,"Pinaceae","Dioecious","Temperate","low to mid",NA,"wind","biotic","birds, mammals, rodents","300",NA,"Y",30.92,"N",NA,"tolerant",5.5,NA,NA,NA,1,5.5,"Taxus brevifolia","biotic",NA
"59",59,"Thuja","occidentalis",NA,"Evergreen","0.9 to 1.4","4 to 7",NA,"Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","abiotic","insects","800","6","Y",1.47,"Y","2 to 5","tolerant",NA,NA,NA,3.5,1.15,5.5,"Thuja occidentalis","abiotic",1.522731149
"60",60,"Thuja","plicata",NA,"Evergreen","1 to 1.2","4 to 7.5",NA,"Pinaceae","Monoecious","Temperate","low to mid","10 to 30","wind","abiotic","insects","1000","20 to 30","N",1.4,"Y","3 to 4","tolerant",NA,NA,NA,3.5,1.1,5.75,"Thuja plicata","abiotic",1.344455354
"61",61,"Torreya","taxifolia",NA,"Evergreen","2.5 to 3.5",NA,"Low","Pinaceae","Dioecious","Subtropical","low",NA,"wind","both","insects, rodents",NA,"20","Y",2015.9,"Y","5","tolerant",3,NA,NA,5,3,NA,"Torreya taxifolia","both",NA
"62",62,"Tsuga","canadensis",NA,"Evergreen","1.5 to 2.5","8 to 12","Moderate","Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","both","birds, insects, rodents","800","20 to 30","Y",2.96,"Y","3 to 4","tolerant",5.15,NA,NA,3.5,2,10,"Tsuga canadensis","both",NA
"63",63,"Tsuga","heterophylla",NA,"Evergreen","1.5 to 2.5","8 to 15","Low","Pinaceae","Monoecious","Temperate","low to mid",NA,"wind","both","birds, insects, rodents","500","25 to 30","Y",1.97,"Y","2 to 8","tolerant",NA,NA,NA,5,2,11.5,"Tsuga heterophylla","both",NA
"64",64,"Tsuga","mertensiana",NA,"Evergreen","10 to 18","3 to 5","High","Pinaceae","Monoecious","Temperate","high",NA,"wind","both","birds, insects, rodents","800","20","Y",4.69,NA,NA,"tolerant",4,NA,NA,NA,14,4,"Tsuga mertensiana","both",1.689270778
"65",65,"Acacia","koa",NA,"Evergreen",NA,NA,"High","Leguminosae",NA,"Tropical","mid to high",">30","animals","abiotic","insects",NA,"2 to 3","Y",90.9,"N",NA,"intolerant",NA,NA,NA,NA,NA,NA,"Acacia koa","abiotic",NA
"66",66,"Acer","barbatum","Acer floridanum","Deciduous",NA,NA,"High","Aceraceae","Polygamous","Temperate","low to mid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tolerant",NA,NA,NA,NA,NA,NA,"Acer floridanum",NA,NA
"67",67,"Acer","macrophyllum",NA,"Deciduous","4 to 7","8 to 12","Low","Aceraceae","Polygamous","Temperate","low to mid","10 to 30","animals","abiotic","rodents","200","10","Y",138.03,"N",NA,"intermediate",NA,NA,NA,NA,5.5,10,"Acer macrophyllum","abiotic",NA
"68",68,"Acer","negundo",NA,"Deciduous","4",NA,"High","Aceraceae","Dioecious","Temperate","low",NA,"wind","abiotic","birds, mammals","100","8 to 10","Y",33.92,"N",NA,NA,NA,28.2,48.8,NA,4,NA,"Acer negundo","abiotic",NA
"69",69,"Acer","nigrum",NA,"Deciduous","3 to 5","7 to 10","Moderate","Aceraceae",NA,"Temperate","low to mid","<10","wind and animals","abiotic","birds","200",NA,"Y",NA,"Y","4","tolerant",NA,NA,NA,4,4,8.5,"Acer nigrum","abiotic",NA
"70",70,"Acer","pensylvanicum",NA,"Deciduous","2.5 to 3","2.7","Low","Aceraceae","Polygamous","Temperate","mid",NA,"wind","abiotic",NA,"100","11","Y",37.3,NA,NA,"tolerant",NA,NA,NA,NA,2.75,2.7,"Acer pensylvanicum","abiotic",NA
"71",71,"Acer","rubrum",NA,"Deciduous","1.2 to 2.5",NA,"Low","Aceraceae","Polygamous","Temperate","broad",">30","wind","abiotic",NA,"150","4","N",23.68,"Y","2","tolerant",NA,3.9,31.8,2,1.85,NA,"Acer rubrum","abiotic",NA
"72",72,"Acer","saccharinum",NA,"Deciduous","3 to 5",NA,"High","Aceraceae","Polygamous","Temperate","low",NA,"wind","abiotic","insects, rodents","100",NA,"N",201.54,NA,NA,"intolerant",NA,NA,NA,NA,4,NA,"Acer saccharinum","abiotic",NA
"73",73,"Acer","saccharum",NA,"Deciduous","2 to 3","7 to 10","Moderate","Aceraceae","Polygamous","Temperate","mid",">30","wind","abiotic",NA,"300","22","Y",55.21,"Y",NA,"tolerant",0.458333333,NA,NA,NA,2.5,8.5,"Acer saccharum","abiotic",1.138658638
"74",74,"Aesculus","glabra",NA,"Deciduous","4 to 5","20 to 35","Moderate","Hippocastanaceae","Polygamous","Temperate","low",NA,NA,"both","mammals, rodents","100","8","Y",6700.5,NA,NA,"tolerant",NA,NA,NA,NA,4.5,27.5,"Aesculus glabra","both",NA
"75",75,"Aesculus","octandra","Aesculus flava","Deciduous","5 to 8","25 to 35","Moderate","Hippocastanaceae","Polygamous","Temperate","low to mid",NA,NA,"abiotic","no",NA,NA,"Y",12530.91,NA,NA,"tolerant",NA,3.7,16.2,NA,6.5,30,"Aesculus flava","abiotic",NA
"76",76,"Ailanthus","altissima",NA,"Deciduous","1 to 5",NA,"High","Simaroubaceae","Dioecious","Temperate","broad",NA,"animals","abiotic","birds","70",NA,"Y",29.25,"N",NA,"intolerant",NA,49.86857143,27.55,NA,3,NA,"Ailanthus altissima","abiotic",NA
"77",77,"Alnus","glutinosa",NA,"Deciduous","1.5 to 2.5","1 to 2","Moderate","Betulaceae","Monoecious","Temperate","low to mid",NA,NA,"abiotic","mammals","160",NA,"N",4.96,"N",NA,"intolerant",NA,11.7,11.1,NA,2,1.5,"Alnus glutinosa","abiotic",1.097142887
"78",78,"Alnus","rubra",NA,"Deciduous",NA,NA,"Low","Betulaceae","Monoecious","Temperate","low to mid",NA,NA,"abiotic","no","60",NA,"Y",0.95,"N",NA,"intolerant",NA,NA,NA,NA,NA,NA,"Alnus rubra","abiotic",NA
"79",79,"Arbutus","menziesii",NA,"Deciduous","0.8 to 2","2 to 3","Moderate","Ericaceae",NA,NA,"low to mid",NA,"animals","biotic","birds, mammals, rodents","400","3","Y",54.88,"N",NA,"intermediate",NA,22.2,15.6,NA,1.4,2.5,"Arbutus menziesii","biotic",NA
"80",80,"Betula","alleghaniensis",NA,"Deciduous","1.5 to 2.5","3 to 4","Low","Betulaceae","Monoecious","Temperate","mid to high","<10","wind","abiotic",NA,"300","40","Y",0.98,"Y","3","intermediate",NA,NA,NA,3,2,3.5,"Betula alleghaniensis","abiotic",1.414195042
"81",81,"Betula","lenta",NA,"Deciduous","1.5 to 4",NA,"Moderate","Betulaceae","Monoecious","Temperate","low to mid",NA,"wind","abiotic",NA,"250","40","N",0.74,"Y","1 to 2","intolerant",NA,NA,NA,1.5,2.75,NA,"Betula lenta","abiotic",NA
"82",82,"Betula","nigra",NA,"Deciduous","2.5 to 7.5","4","Moderate","Betulaceae","Monoecious","Temperate","low",NA,"wind","abiotic","birds",NA,NA,"Y",1.24,"N",NA,"intolerant",NA,NA,NA,NA,5,4,"Betula nigra","abiotic",NA
"83",83,"Betula","papyrifera",NA,"Deciduous","2.5 to 7.5","2 to 3","Moderate","Betulaceae","Monoecious","Temperate","broad",NA,"wind","abiotic","birds","140","15","Y",0.32,"N",NA,"intolerant",NA,NA,NA,NA,5,2.5,"Betula papyrifera","abiotic",0.973691066
"84",84,"Calophyllum","calaba",NA,"Evergreen",NA,NA,"High","Calophyllaceae","Polygamous","Tropical","low",NA,NA,"both","birds, mammals",NA,"3","Y",NA,"N",NA,"intermediate",NA,NA,NA,NA,NA,NA,"Calophyllum calaba","both",NA
"85",85,"Carpinus","caroliniana",NA,"Deciduous",NA,NA,"Moderate","Betulaceae","Monoecious","Temperate to subtropical","low to mid",NA,"wind","both","birds, rodents","150",NA,"Y",25.97,"Y","3 to 5","tolerant",0.641666667,NA,NA,4,NA,NA,"Carpinus caroliniana","both",NA
"86",86,"Carya","aquatica",NA,"Deciduous","4 to 6","30 to 50",NA,"Juglandaceae","Monoecious","Subtropical","low",NA,"wind","both",NA,NA,"20","Y",2771.8,"N",NA,"intermediate",NA,NA,NA,NA,5,40,"Carya aquatica","both",NA
"87",87,"Carya","cordiformis",NA,"Deciduous","3 to 5","25 to 40","Low","Juglandaceae","Monoecious","Temperate to subtropical","low to mid",NA,"wind","abiotic","no","200","30","Y",2797.56,"Y","3 to 5","intolerant",NA,27,NA,4,4,32.5,"Carya cordiformis","abiotic",NA
"88",88,"Carya","glabra",NA,"Deciduous","2.5 to 7.5",NA,"High","Juglandaceae","Monoecious","Temperate to subtropical","low to mid",NA,"wind","biotic","rodents","300","30","Y",3502.19,"Y","1 to 2","intermediate",NA,NA,NA,1.5,5,NA,"Carya glabra","biotic",0.836795154
"89",89,"Carya","illinoensis","Carya illinoinensis","Deciduous","2.6 to 6","40","High","Juglandaceae","Monoecious","Temperate to subtropical","low",NA,"wind","both","rodents","300","20","Y",NA,"Y","1 to 3","intolerant",NA,NA,NA,2,4.3,40,"Carya illinoinensis","both",NA
"90",90,"Carya","laciniosa",NA,"Deciduous","4.5 to 7","50","Low","Juglandaceae","Monoecious","Temperate","low to mid",NA,"wind","biotic","rodents",NA,"40","Y",15141.07,"Y","2","tolerant",NA,NA,NA,2,5.75,50,"Carya laciniosa","biotic",NA
"91",91,"Carya","myristiciformis",NA,"Deciduous","2.5 to 7.62","30","High","Juglandaceae","Monoecious","subtropical","low",NA,"wind","both","rodents",NA,"30","Y",NA,"Y","2 to 3","tolerant",NA,NA,NA,2.5,5.06,30,"Carya myristiciformis","both",NA
"92",92,"Carya","ovata",NA,"Deciduous","3.8 to 6","30 to 50","Moderate","Juglandaceae","Monoecious","Temperate","low to mid",NA,"wind","biotic","insects","300","40","Y",4401.2,"Y","1 to 3","intermediate",NA,70.2,NA,2,4.9,40,"Carya ovata","biotic",1.265727589
"93",93,"Carya","tomentosa",NA,"Deciduous","2.5 to 9",NA,"Moderate","Juglandaceae","Monoecious","Temperate","low to mid",NA,"wind","biotic","insects","300","25","Y",5559.92,"Y","2 to 3","intolerant",NA,NA,NA,2.5,5.75,NA,"Carya tomentosa","biotic",0.781899878
